Date,GLD,SLV
2006-12-31,63.209999084472656,12.86400032043457
2007-12-31,82.45999908447266,14.696999549865723
2008-12-31,86.5199966430664,11.199999809265137
2009-12-31,107.30999755859375,16.540000915527344
2010-12-31,138.72000122070312,30.18000030517578
2011-12-31,151.99000549316406,26.940000534057617
2012-12-31,162.02000427246094,29.3700008392334
2013-12-31,116.12000274658203,18.709999084472656
2014-12-31,113.58000183105469,15.0600004196167
2015-12-31,101.45999908447266,13.1899995803833
2016-12-31,109.61000061035156,15.109999656677246
2017-12-31,123.6500015258789,15.989999771118164
2018-12-31,121.25,14.520000457763672
2019-12-31,142.89999389648438,16.68000030517578
2020-12-31,178.36000061035156,24.56999969482422
2021-12-31,170.9600067138672,21.510000228881836
2022-12-31,169.63999938964844,22.020000457763672
2023-12-31,191.1699981689453,21.780000686645508
2024-12-31,242.1300048828125,26.329999923706055
2025-12-31,396.30999755859375,64.41999816894531
2026-12-31,471.79998779296875,75.33999633789062
