Price,count,mean,std,min,25%,50%,75%,max
Close,77.0,1540.8727298092533,61.8669402706481,1447.300048828125,1477.699951171875,1525.0,1612.800048828125,1627.699951171875
High,77.0,1545.9298745687906,60.71472306458135,1449.0,1481.4000244140625,1534.4000244140625,1615.800048828125,1631.5999755859375
Low,77.0,1536.4142844460227,62.410320898366734,1437.0,1473.0999755859375,1516.5,1606.0,1622.199951171875
Open,77.0,1541.872731394582,61.73695149045455,1447.300048828125,1476.699951171875,1527.9000244140625,1612.800048828125,1628.0
Volume,77.0,19654.79220779221,14607.735961809361,0.0,10167.0,18185.0,24897.0,62307.0
MA7,77.0,1546.904269697936,60.664501647852596,1449.7571672712054,1490.8428606305804,1534.2571323939733,1616.0714460100446,1624.8999895368304
MA21,77.0,1560.4320379385772,55.95542997482693,1463.847621372768,1510.8857247488838,1569.3618977864583,1617.4238106863838,1620.104771205357
RSI,77.0,33.199858019382596,11.559771771708396,14.292810671210319,22.825317074673222,33.38153955374317,42.170068335963705,55.313763930090175
daily_return,77.0,-0.13766591845341458,0.5828648164696041,-3.279996744791669,-0.27889680818097284,-0.0690464659453105,0.13640569849149298,1.001457427838215
volatility,77.0,0.5423693086054713,0.21309313745285188,0.2132527703870009,0.3270308466079298,0.5986243185812095,0.7902588402581316,0.840366209602639
