Price,count,mean,std,min,25%,50%,75%,max
Close,77.0,996.5811696238331,23.47694203894235,957.4000244140625,972.7999877929688,1000.0,1015.0,1042.3499755859375
High,77.0,1002.3915595512885,24.135922046731682,959.9000244140625,978.5,1004.5,1019.9500122070312,1051.699951171875
Low,77.0,990.5870099748884,23.68154538899205,949.0999755859375,968.4000244140625,990.0999755859375,1010.0,1033.4000244140625
Open,77.0,995.7928546063312,23.993515034109297,957.7999877929688,972.0,998.75,1015.0,1041.0
Volume,77.0,138012.9220779221,103500.5768883956,0.0,66723.0,122261.0,197785.0,409927.0
MA7,77.0,996.8562161192602,20.985439324517955,960.3999982561384,977.442853655134,1000.7571498325893,1014.0,1028.71431187221
MA21,77.0,996.5769332857433,16.001097522081974,969.1142810639881,981.952375139509,994.7428559802827,1011.1000017438616,1022.9404849097842
RSI,77.0,49.53861890042327,11.206624485204186,25.76623327124169,42.97602964499348,50.6403496083254,58.055195262188434,72.9251904321005
daily_return,77.0,-0.008892854173562932,0.898127925466634,-3.6868198421240117,-0.39992046403241055,0.10471082452940816,0.37428884206216484,2.1727382648148774
volatility,77.0,0.8851235746711006,0.15412850207167506,0.6389281387819378,0.7268938329627316,0.9403822115080014,1.0168549924982022,1.135526006683034
