Price,count,mean,std,min,25%,50%,75%,max
Close,182.0,1608.8307723160628,74.04821125859563,1447.300048828125,1554.7250366210938,1625.5999755859375,1668.4000244140625,1707.0999755859375
High,182.0,1613.9752780788547,73.67907749864189,1449.0,1561.2749633789062,1629.3499755859375,1675.5249938964844,1711.5
Low,182.0,1604.3054916884873,74.14956317631635,1437.0,1552.1000366210938,1621.0499877929688,1665.5,1705.0
Open,182.0,1609.4835178249484,73.73266508196294,1447.300048828125,1556.4000244140625,1627.2999877929688,1669.6499938964844,1711.0
Volume,182.0,16216.010989010989,13668.293659337643,0.0,8773.25,13629.0,20371.5,87239.0
MA7,182.0,1611.9954499584542,71.28774704585484,1449.7571672712054,1573.0607038225446,1626.6571306501116,1668.0035879952568,1703.7000034877233
MA21,182.0,1619.9001339004653,64.8532794013363,1463.847621372768,1599.1678597586495,1634.854756673177,1673.797621954055,1696.8952346075148
RSI,182.0,40.17129471466749,12.484682119011644,14.601436210633537,30.815463376547044,41.620595456089944,48.12961563854104,69.10293176295255
daily_return,182.0,-0.06432536137255372,0.4940923256275355,-3.279996744791669,-0.21951458365543353,-0.060328901961043124,0.17441720934426863,1.1090768538619677
volatility,182.0,0.4879907732619579,0.17759248152727677,0.21325277038700133,0.342511416027763,0.45104543810488185,0.6329423260345004,0.8403662096026393
