Price,count,mean,std,min,25%,50%,75%,max
Close,183.0,520.5087430359887,25.35148294304911,466.0,513.5249938964844,523.7999877929688,541.9750061035156,566.9000244140625
High,183.0,522.6557398728335,25.52029993946345,467.54998779296875,514.5750122070312,526.3499755859375,543.0499877929688,566.9000244140625
Low,183.0,518.2079207623591,25.53924246410225,463.25,512.375,522.5,540.0,566.9000244140625
Open,183.0,520.310655437532,25.433914371790166,466.0,513.5750122070312,523.9500122070312,541.375,566.9000244140625
Volume,183.0,144034.45901639343,614401.2555939526,0.0,21693.5,34412.0,56830.0,5248818.0
MA7,183.0,519.9442229676674,23.800793468177968,467.3142874581473,513.4500013078962,523.7999965122768,540.9214303152902,554.7642996651786
MA21,183.0,520.9480610355374,21.636571125368352,474.8238089425223,510.9261903308687,527.0166684105283,538.0249997093564,546.3952375139509
RSI,183.0,43.68561357023861,14.967461953657054,10.70268823335617,34.47206177707339,41.48512480027068,52.31057577281471,88.33284680278317
daily_return,183.0,0.04374684313004139,1.2019828224419435,-3.3405779307636996,-0.2576221737942752,0.009691313329152074,0.22830990438270637,12.437241047496084
volatility,183.0,0.7411853326819549,0.5432881811579163,0.2655109540051824,0.3623009053683036,0.624483957174072,0.8990249080656303,2.8928722726471863
