Price,count,mean,std,min,25%,50%,75%,max
Close,182.0,2157.89065518222,81.33426792966023,1973.300048828125,2108.3499755859375,2190.4000244140625,2216.925048828125,2267.10009765625
High,182.0,2168.017572759272,81.48023203819095,1977.199951171875,2117.7250366210938,2199.3499755859375,2229.0750732421875,2288.0
Low,182.0,2148.793415446858,81.46833767525804,1942.699951171875,2089.4749755859375,2179.35009765625,2207.7750244140625,2258.10009765625
Open,182.0,2158.7912087912086,81.03120340501182,1973.4000244140625,2108.8749389648438,2191.25,2217.3250122070312,2267.800048828125
Volume,182.0,179151.45604395604,272712.61703142355,0.0,69633.75,119976.0,196220.25,2999122.0
MA7,182.0,2158.5516438865957,77.18812604307354,1984.5428466796875,2106.6285400390625,2184.7357003348216,2218.8214198521205,2255.9143415178573
MA21,182.0,2159.1600427073627,69.26807982970975,1988.0333310081846,2120.421418689546,2181.7714262462796,2202.6547299339654,2238.214308965774
RSI,182.0,49.06108039128085,15.360165182343987,22.63121161453506,36.497122824336586,48.7707118547701,58.137927269527765,89.18494124555373
daily_return,182.0,-0.007663542861017037,0.9334639248646076,-3.2550626804926486,-0.3345724449847265,-0.02911476230256782,0.22455521781906684,8.12685827552031
volatility,182.0,0.8405330063037738,0.3998722820727168,0.46945172441670047,0.5900376217960139,0.7200490768506008,0.9208960099342278,1.8822168099068313
