Price,count,mean,std,min,25%,50%,75%,max
Close,183.0,1395.6699472229338,111.06757245256567,1270.800048828125,1303.9500122070312,1357.5,1496.75,1673.9000244140625
High,183.0,1402.3978171426743,112.32030462179023,1274.5,1308.9000244140625,1369.0,1502.25,1713.199951171875
Low,183.0,1390.1825137946123,111.6634494148796,1265.0,1297.2999877929688,1351.199951171875,1494.0999755859375,1671.199951171875
Open,183.0,1397.0092873495132,112.57972303056692,1270.800048828125,1303.9500122070312,1357.300048828125,1496.9500122070312,1710.800048828125
Volume,183.0,1636390.169398907,1531146.8458420627,0.0,769296.5,1166472.0,2012492.0,8717565.0
MA7,183.0,1401.6421564535458,113.9636125612285,1276.9857003348213,1302.4928763253347,1361.414271763393,1500.3214285714284,1664.3285958426338
MA21,183.0,1415.3836337984646,120.3240489039291,1290.7761928013392,1304.3785836356026,1374.133324032738,1504.316664922805,1662.7904750279017
RSI,183.0,38.456867603153185,12.411643250963714,4.8706450273248265,29.693742638488146,40.17292365690661,48.40060240887148,62.43356547310106
daily_return,183.0,-0.1290731143557503,1.059767825772914,-6.359082509548564,-0.34694967469071636,-0.033602150537637154,0.18644495050932353,3.0693475483021038
volatility,183.0,0.9573127129236656,0.46622977343837196,0.3006856058060394,0.5666869857595536,0.8532663306420278,1.1919600661871792,1.9349003776149714
