Price,count,mean,std,min,25%,50%,75%,max
Close,77.0,79.0605194289963,1.6480315577385385,76.12999725341797,77.80000305175781,79.20999908447266,80.41000366210938,81.9000015258789
High,77.0,79.65662344399985,1.8205150792990799,76.45999908447266,78.30000305175781,79.91999816894531,81.0199966430664,84.0
Low,77.0,78.6129869733538,1.6427863017769713,75.75,77.06999969482422,78.87000274658203,80.0,81.06999969482422
Open,77.0,79.06714253611379,1.6133404814611916,76.0,77.83999633789062,79.2699966430664,80.48999786376953,81.91000366210938
Volume,77.0,24030.935064935064,40560.27546891353,0.0,7032.0,14881.0,20423.0,251810.0
MA7,77.0,79.2324674532011,1.536526489714616,76.39000047956195,78.01857103620257,79.52428436279297,80.61714390345982,81.40714263916016
MA21,77.0,79.6751205312225,1.336955972333415,76.96952420189267,78.86666615804036,79.3538091750372,80.76238105410621,82.46571459089007
RSI,77.0,41.495306740129124,8.177441860476058,29.746130851875577,34.96587781406434,39.73568362877449,46.229487743967965,65.57359450220613
daily_return,77.0,-0.08783427234709948,0.8318512551670995,-2.449289684774325,-0.43793603871363773,-0.052515316382995,0.2598033894785523,2.5818910412678253
volatility,77.0,0.8261350534242708,0.22586877708533798,0.5331377194356414,0.6194895556408265,0.7888877886451995,1.0739127056952384,1.2418353752503013
