Price,count,mean,std,min,25%,50%,75%,max
Close,182.0,82.73626365242424,3.7886559120536503,76.12999725341797,79.92999839782715,83.21999740600586,85.65749931335449,91.30000305175781
High,182.0,83.30379117190184,3.8234615997554235,76.45999908447266,80.19250106811523,83.5,86.15749740600586,91.69000244140625
Low,182.0,82.23296699943123,3.7190439156387707,75.75,79.61250114440918,82.375,85.24249839782715,89.91000366210938
Open,182.0,82.75395600874346,3.7994192613861535,76.0,79.9524974822998,83.13000106811523,85.74750137329102,91.37999725341797
Volume,182.0,28596.120879120877,56380.53041204311,0.0,7344.0,14733.5,27436.75,503272.0
MA7,182.0,82.81247243477,3.6297663747847135,76.39000047956195,80.22285652160645,83.02785764421736,85.78535788399833,89.68714359828404
MA21,182.0,82.99354776395421,3.2860722013504953,76.96952420189267,80.12654704139347,83.09309532528832,85.77333314078194,87.99761926560174
RSI,182.0,46.16865529566149,11.588728303836723,27.37579637816569,36.75400272361884,45.392172091272,51.83080172640983,86.47523839986408
daily_return,182.0,-0.029860793237395784,0.9227723766956516,-2.449289684774325,-0.44285823207168284,-0.05781644050505408,0.2548756336200664,4.888889245819628
volatility,182.0,0.8829560419971749,0.26833582938536515,0.5331377194356407,0.6796882965850481,0.8067600224486107,1.037432500795763,1.5428629165783199
