adj_close,close,date,high,low,open,ticker,volume
0.0,275.6520690917969,2026-02-05 00:00:00,279.2387093202658,272.97458180817284,277.86999494352693,AAPL,52977400.0
0.0,277.8599853515625,2026-02-06 00:00:00,280.6473855638201,276.67109542368036,276.8609202349588,AAPL,50453400.0
0.0,274.6199951171875,2026-02-09 00:00:00,278.20001220703125,271.70001220703125,277.9100036621094,AAPL,44623400.0
0.0,273.67999267578125,2026-02-10 00:00:00,275.3699951171875,272.94000244140625,274.8900146484375,AAPL,34376900.0
0.0,275.5,2026-02-11 00:00:00,280.17999267578125,274.45001220703125,274.70001220703125,AAPL,51931300.0
0.0,261.7300109863281,2026-02-12 00:00:00,275.7200012207031,260.17999267578125,275.5899963378906,AAPL,81077200.0
0.0,255.77999877929688,2026-02-13 00:00:00,262.2300109863281,255.4499969482422,262.010009765625,AAPL,56290700.0
0.0,263.8800048828125,2026-02-17 00:00:00,266.2900085449219,255.5399932861328,258.04998779296875,AAPL,58469100.0
0.0,264.3500061035156,2026-02-18 00:00:00,266.82000732421875,262.45001220703125,263.6000061035156,AAPL,34203300.0
0.0,260.5799865722656,2026-02-19 00:00:00,264.4800109863281,260.04998779296875,262.6000061035156,AAPL,30845300.0
0.0,264.5799865722656,2026-02-20 00:00:00,264.75,258.1600036621094,258.9700012207031,AAPL,42070500.0
0.0,266.17999267578125,2026-02-23 00:00:00,269.42999267578125,263.3800048828125,263.489990234375,AAPL,37308200.0
0.0,272.1400146484375,2026-02-24 00:00:00,274.8900146484375,267.7099914550781,267.8599853515625,AAPL,47014600.0
0.0,274.2300109863281,2026-02-25 00:00:00,274.94000244140625,271.04998779296875,271.7799987792969,AAPL,33714300.0
0.0,272.95001220703125,2026-02-26 00:00:00,276.1099853515625,270.79998779296875,274.95001220703125,AAPL,32345100.0
0.0,264.17999267578125,2026-02-27 00:00:00,272.80999755859375,262.8900146484375,272.80999755859375,AAPL,72366500.0
0.0,264.7200012207031,2026-03-02 00:00:00,266.5299987792969,260.20001220703125,262.4100036621094,AAPL,41827900.0
0.0,263.75,2026-03-03 00:00:00,265.55999755859375,260.1300048828125,263.4800109863281,AAPL,38568900.0
0.0,262.5199890136719,2026-03-04 00:00:00,266.1499938964844,261.4200134277344,264.6499938964844,AAPL,39803100.0
0.0,260.2900085449219,2026-03-05 00:00:00,261.55999755859375,257.25,260.7900085449219,AAPL,49658600.0
0.0,257.4599914550781,2026-03-06 00:00:00,258.7699890136719,254.3699951171875,258.6300048828125,AAPL,41120000.0
0.0,259.8800048828125,2026-03-09 00:00:00,261.1499938964844,253.67999267578125,255.69000244140625,AAPL,38218500.0
0.0,260.8299865722656,2026-03-10 00:00:00,262.4800109863281,256.95001220703125,257.6499938964844,AAPL,30590800.0
0.0,260.80999755859375,2026-03-11 00:00:00,262.1300048828125,259.54998779296875,261.0899963378906,AAPL,26218900.0
0.0,255.75999450683594,2026-03-12 00:00:00,258.95001220703125,254.17999267578125,258.6600036621094,AAPL,40794000.0
0.0,250.1199951171875,2026-03-13 00:00:00,256.3299865722656,249.52000427246094,255.47999572753906,AAPL,36930000.0
0.0,252.82000732421875,2026-03-16 00:00:00,253.88999938964844,249.8800048828125,252.11000061035156,AAPL,32074200.0
0.0,254.22999572753906,2026-03-17 00:00:00,255.1300048828125,252.17999267578125,252.9600067138672,AAPL,32361600.0
0.0,249.94000244140625,2026-03-18 00:00:00,254.94000244140625,249.0,252.6300048828125,AAPL,35757900.0
0.0,248.9600067138672,2026-03-19 00:00:00,251.8300018310547,247.3000030517578,249.39999389648438,AAPL,34568663.0
